종목명,날짜,지분율(퍼센트)
(주)오리온,2023-07-27,8.04
동국씨엠(주),2023-07-27,4.16
(주)현대백화점,2023-07-27,8.15
파미셀(주),2023-07-28,5.12
세아베스틸지주,2023-07-28,7.11
(주)진시스템,2023-07-28,5.01
LG전자(주),2023-07-31,7.47
(주)아모텍,2023-08-03,4.32
SNT모티브(주),2023-08-03,8.28
(주)LS,2023-08-04,12.67
HL만도,2023-08-04,10.54
메드팩토,2023-08-07,3.99
(주)성광벤드,2023-08-09,6.34
지에스건설(주),2023-08-09,6.33
세아제강지주,2023-08-10,8.16
코스모화학(주),2023-08-11,4.06
(주)한독,2023-08-11,4.66
(주)제이시스메디칼,2023-08-16,6.13
(주)케이씨,2023-08-16,4.16
티케이지휴켐스,2023-08-17,9.16
(주)경동나비엔,2023-08-17,4.5
(주)제일기획,2023-08-18,10.21
한전KPS(주),2023-08-18,10.42
휠라홀딩스(주),2023-08-21,6.71
에이치디현대인프라코어,2023-08-21,10.37
포스코홀딩스,2023-08-22,7.72
한국앤컴퍼니(주),2023-08-22,3.8
(주)하나투어,2023-08-24,5.34
LX인터내셔널,2023-08-24,8.43
에이치디현대건설기계,2023-08-24,7.11
솔루엠,2023-08-25,9.1
(주)파마리서치,2023-08-25,8.41
현대엘리베이터(주),2023-08-25,6.2
디와이파워(주),2023-08-25,7.97
삼성엔지니어링(주),2023-08-25,8.04
(주)코스메카코리아,2023-08-28,9.59
케이씨씨글라스,2023-08-29,8.1
(주)와이지엔터테인먼트,2023-08-29,7.87
(주)유니드,2023-08-29,7.8
(주)아이에스시,2023-08-29,9.31
한세실업(주),2023-08-30,10.08
