종목명,섹터,변동일자,매수매도,기준주가,90일후_주가,180일후_주가,270일후_주가,360일후_주가
유한양행,기타,2024-08-26,매도,110526.56,117063.09,119860.74,103448.27,113096.81
대웅제약,기타,2024-08-20,매수,138839.97,126443.55,136129.5,138222.28,134036.73
동국제강,소재,2024-08-19,매도,7949.39,7628.11,7646.47,8736.07,9793.8
아모레퍼시픽,소재,2024-08-16,매도,120559.95,104962.69,114085.62,121646.34,125512.85
피에스케이,산업재,2024-08-13,매수,28429.11,18139.12,19453.34,18874.55,20846.37
케이카,자유소비재,2024-08-09,매도,11523.48,11193.74,12650.93,13268.52,15028.52
진에어,산업재,2024-08-08,매도,9840.0,11560.0,9700.0,9580.0,8750.0
한올바이오파마,기타,2024-08-08,매도,35500.0,45500.0,39700.0,26650.0,26200.0
씨앤씨인터내셔널,소재,2024-08-07,매도,111540.45,62619.2,35100.0,33400.0,42900.0
솔루엠,정보기술,2024-08-06,매도,16912.4,18196.5,18266.18,16056.32,15857.24
티이엠씨,소재,2024-08-06,매도,10451.78,8961.43,7292.19,6321.85,6449.27
코스메카코리아,소재,2024-08-05,매수,67486.07,77807.47,49118.8,43600.39,67115.77
한미반도체,산업재,2024-08-02,매도,114133.31,90990.16,111957.46,76961.54,84936.83
해성디에스,정보기술,2024-08-02,매도,31689.89,25504.17,24541.73,23607.27,23951.54
리노공업,정보기술,2024-08-02,매도,36808.59,35487.06,42338.3,35528.64,46730.03
DB하이텍,정보기술,2024-08-01,매수,52524.99,35900.11,31177.68,38748.1,45734.65
효성티앤씨,소재,2024-08-01,매도,282098.34,273383.12,213894.27,222507.45,236384.27
일진전기,기타,2024-07-31,매수,22484.31,23513.0,32240.59,23524.24,40857.89
풍산,소재,2024-07-30,매도,54045.98,65211.74,49729.82,55645.41,155944.53
두산,정보기술,2024-07-29,매수,164093.3,207218.47,280907.12,307212.56,553679.75
삼성전기,정보기술,2024-07-29,매도,152179.11,118383.23,132883.27,121883.98,133874.19
주성엔지니어링,산업재,2024-07-25,매수,27627.42,43296.49,35033.44,35881.83,30192.64
SK케미칼,기타,2024-07-19,매도,47211.93,49816.8,40843.89,36529.05,71391.0
한일시멘트,기타,2024-07-18,매도,12968.87,12666.23,14354.73,15027.9,18469.63
테크윙,산업재,2024-07-17,매수,52358.7,37257.14,45864.55,30160.93,28914.61
케이씨텍,기타,2024-07-16,매수,52459.7,37576.47,33057.47,24418.18,27687.15
성광벤드,소재,2024-07-16,매수,13117.38,13530.68,27093.18,27440.53,29425.38
롯데쇼핑,기타,2024-07-16,매도,55292.26,57370.24,48425.9,60103.61,76188.46
SBS,통신서비스,2024-07-16,매도,16860.5,15430.15,23463.63,17928.37,22336.98
대주전자재료,정보기술,2024-07-15,매수,121557.27,117568.51,79181.64,83275.52,69296.41
디와이파워,산업재,2024-07-15,매도,12935.27,11801.09,10732.52,11109.45,12459.56
제이엘케이,정보기술,2024-07-15,매도,10950.0,11125.0,8660.0,6610.0,6760.0
신세계인터내셔날,기타,2024-07-12,매도,14127.84,12723.42,9961.1,8903.46,11951.93
삼성증권,금융,2024-07-11,매수,39233.9,38881.63,41987.23,40134.86,67445.55
디아이,기타,2024-07-11,매수,21513.39,15417.11,16642.35,12007.39,14903.0
대상,필수소비재,2024-07-10,매수,24478.67,18601.94,17981.88,21253.45,21973.1
제이브이엠,산업재,2024-07-09,매수,25347.69,20553.46,19689.11,19494.16,23880.35
현대오토에버,정보기술,2024-07-09,매도,173348.09,155974.0,132023.31,110953.3,165385.09
