종목명,섹터,변동일자,매수매도,90일_수익률,90일_시장수익률,90일_초과수익률,180일_수익률,180일_시장수익률,180일_초과수익률,270일_수익률,270일_시장수익률,270일_초과수익률,360일_수익률,360일_시장수익률,360일_초과수익률
DL,소재,2022-06-29,매수,-0.17316020495890339,-0.09356641571820509,-0.07959378924069829,-0.13180747089809597,-0.059541919214163665,-0.07226555168393231,-0.21833344542255417,0.041577179716284406,-0.25991062513883856,-0.3943183826975496,0.0783392864677867,-0.4726576691653363
하나투어,기타,2022-06-29,매도,-0.035778163574840115,-0.09356641571820509,0.05778825214336498,0.08228975858581702,-0.059541919214163665,0.14183167779998068,0.09123427256133111,0.041577179716284406,0.049657092845046706,-0.08765639749823949,0.0783392864677867,-0.1659956839660262
한전KPS,통신서비스,2022-06-28,매도,-0.07589863952869452,-0.11007026492909248,0.03417162540039796,-0.08180442329641198,-0.07666526793336197,-0.005139155363050013,0.045415399726629106,0.022612709496263487,0.02280269023036562,-0.0942498775343499,0.05281799066030527,-0.14706786819465517
고려아연,소재,2022-06-28,매도,0.1911912891488444,-0.11007026492909248,0.30126155407793687,0.17056483720162552,-0.07666526793336197,0.2472301051349875,0.14773496276696477,0.022612709496263487,0.12512225327070128,0.014086289807863918,0.05281799066030527,-0.038731700852441354
OCI,소재,2022-06-27,매수,,-0.10259706387224413,,,-0.06891154780965422,,,0.021332930281195952,,-0.012195134292583542,0.0675584635663365,-0.07975359785892004
해성디에스,정보기술,2022-06-23,매수,-0.25000008973856713,-0.0390870572200617,-0.21091303251850543,-0.37080543092065094,0.0012184244769345917,-0.37202385539758553,-0.15405772702961731,0.04348572781874063,-0.19754345484835795,-0.04573594275856786,0.11052059427467086,-0.15625653703323872
이녹스첨단소재,정보기술,2022-06-22,매수,-0.1386430632034284,-0.05201877836423983,-0.08662428483918858,-0.11061950010013302,-0.01242956810804333,-0.0981899319920897,0.15173898774484534,0.030796308936396368,0.12094267880844897,0.18763753155037635,0.09701599078797225,0.0906215407624041
포스코인터내셔널,기타,2022-06-21,매수,0.11848341776228122,-0.049370440409458746,0.16785385817173998,0.170616180013244,-0.039536222695157795,0.2101524027084018,0.02023028619023738,0.002503198294675259,0.017727087895562123,0.9367084460043956,0.07670211453822179,0.8600063314661739
삼양식품,필수소비재,2022-06-21,매수,0.15736322616105133,-0.049370440409458746,0.20673366657051007,0.27514783429920303,-0.039536222695157795,0.3146840569943608,0.17113383315615732,0.002503198294675259,0.16863063486148205,0.10527035521868346,0.07670211453822179,0.028568240680461668
하나머티리얼즈,정보기술,2022-06-21,매도,-0.37130909125764616,-0.049370440409458746,-0.3219386508481874,-0.3645902420713583,-0.039536222695157795,-0.32505401937620054,-0.18673893239407985,0.002503198294675259,-0.18924213068875512,-0.02795953717368726,0.07670211453822179,-0.10466165171190905
