종목명,섹터,변동일자,매수매도,90일_종목수익률,90일_시장수익률,90일_초과수익률,180일_종목수익률,180일_시장수익률,180일_초과수익률,270일_종목수익률,270일_시장수익률,270일_초과수익률,360일_종목수익률,360일_시장수익률,360일_초과수익률
현대백화점,기타,2025-05-29,매수,0.054621875320810816,0.17147437292377846,-0.11685249760296765,0.257871780353626,0.417967897854051,-0.16009611750042496,0.5325469293176713,1.1487922233655645,-0.6162452940478932,,,
에스앤에스텍,정보기술,2025-05-29,매도,0.7055213250071225,0.17147437292377846,0.5340469520833441,0.3680981897421287,0.417967897854051,-0.04986970811192226,1.7319416959906369,1.1487922233655645,0.5831494726250723,,,
롯데쇼핑,기타,2025-05-28,매수,-0.12364666329935262,0.19070472583998405,-0.3143513891393367,-0.05643767805550979,0.44039106389414073,-0.49682874194965054,0.49704864697062656,1.189423836698658,-0.6923751897280315,,,
덕산네오룩스,정보기술,2025-05-27,매수,0.25375170532060026,0.21713779778714287,0.03661390753345739,-0.021828103683492497,0.45837666228817797,-0.48020476597167044,0.20054570259208732,1.2167623136083483,-1.016216611016261,,,
세아베스틸지주,소재,2025-05-27,매수,0.36363654533489703,0.21713779778714287,0.14649874754775416,0.2948403476310851,0.45837666228817797,-0.1635363146570929,2.4643737099120235,1.2167623136083483,1.2476113963036752,,,
카카오,통신서비스,2025-05-27,매수,0.5799753990321012,0.21713779778714287,0.3628376012449583,0.4358973606536131,0.45837666228817797,-0.022479301634564852,0.41880335610023306,1.2167623136083483,-0.7979589575081152,,,
호텔신라,기타,2025-05-26,매수,-0.0010309278350515464,0.21383309104532702,-0.21486401888037857,-0.010309278350515464,0.4544169568244804,-0.4647262351749959,-0.007216494845360825,1.196539857684955,-1.2037563525303159,,,
제주항공,산업재,2025-05-26,매도,0.004484304932735426,0.21383309104532702,-0.20934878611259158,-0.1898355754857997,0.4544169568244804,-0.6442525323102801,-0.08819133034379671,1.196539857684955,-1.2847311880287517,,,
삼화전기,정보기술,2025-05-22,매도,-0.09461966604823747,0.20681897935101912,-0.3014386453992566,0.09461966604823747,0.5243343356233137,-0.4297146695750762,0.6773314149407443,1.188886855693587,-0.5115554407528426,,,
쿠쿠홈시스,기타,2025-05-21,매수,0.0018417060600015548,0.20032905674862028,-0.19848735068861872,-0.09023934447016545,0.557465351778662,-0.6477046962488274,0.014793956235126032,1.1622840785927515,-1.1474901223576255,,,
넥센타이어,기타,2025-05-21,매도,-0.07852559349014729,0.20032905674862028,-0.27885465023876754,0.20352518151586751,0.557465351778662,-0.35394017026279445,0.48717771252105196,1.1622840785927515,-0.6751063660716996,,,
유니드,소재,2025-05-19,매수,-0.14581064496460333,0.2204254882587582,-0.36623613322336157,-0.27312296362021093,0.5707224046495333,-0.8438453682697442,-0.12295971883328742,1.115298311790906,-1.2382580306241935,,,
디어유,정보기술,2025-05-16,매수,0.047999908089013374,0.22794800207441498,-0.17994809398540162,-0.32200006369270123,0.5799753895569191,-0.9019754532496203,-0.1429999907282777,1.0182535507627564,-1.161253541491034,-0.4336187008220793,1.9777795952660213,-2.411398296088101
메디톡스,기타,2025-05-16,매수,-0.28520919258776717,0.22794800207441498,-0.5131571946621821,-0.25481269282539976,0.5799753895569191,-0.8347880823823188,-0.21612485339540852,1.0182535507627564,-1.234378404158165,-0.39408891477336816,1.9777795952660213,-2.3718685100393895
후성,소재,2025-05-16,매도,0.41404358353510895,0.22794800207441498,0.18609558146069397,1.242130750605327,0.5799753895569191,0.6621553610484079,0.9782082324455206,1.0182535507627564,-0.04004531831723579,2.2469733656174333,1.9777795952660213,0.269193770351412
한미약품,기타,2025-05-15,매수,-0.035958908523774535,0.23003707428762596,-0.26599598281140047,0.5547945297294511,0.5665112645501468,-0.011716734820695685,0.9280821829524509,1.0211034813805713,-0.09302129842812035,0.4556453518597287,1.9840387866694993,-1.5283934348097705
CJ제일제당,필수소비재,2025-05-15,매도,0.010917502812543006,0.23003707428762596,-0.21911957147508296,7.0767496975692e-05,0.5665112645501468,-0.5664404970531711,-0.036785237209284206,1.0211034813805713,-1.0578887185898556,-0.001372304878776804,1.9840387866694993,-1.985411091548276
